External ID,Name,Cost,Sales Price,Barcode,Visible on current website,Image Url
,Prince Mango Pickle 400 gm,85,100,802565000042,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/7.2_Prince_Mango_Pickle_400gm.jpg
,Prince Olive Pickle 400 gm,85,100,802565000043,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/7.3_Prince_Olive_Pickle_400gm.jpg
,Prince Mixed Pickle 400 gm,85,100,802565000044,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/7.4_Prince_Mixed_Pickle_400gm.jpg
,Prince White Vinegar 600 ml,35,45,802565000045,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/8.1_Prince_White_Vinegar_600_ml.jpg
,Prince White Vinegar 400 ml,28,35,802565000046,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/8.2_Prince_White_Vinegar_400_ml.jpg
,Prince Sauce/Ketchup 4 Ltr. ,375,415,802565000047,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/9.1_Prince_Sauce/Ketchup_4_Ltr.jpg
,Prince Tomato Sauce (Mini) 10 gm ,1.63,3,802565000048,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/9.2_Prince_Tomato_Sauce_Mini_10gm.jpg
,Prince Tomato Sauce 1000 gm ,148,175,802565000049,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/9.3_Prince_Tomato_Sauce_1000gm.jpg
,Prince Tomato Sauce 340 gm  ,58,75,802565000050,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/9.4_Prince_Tomato_Sauce_340gm.jpg
,Prince Tomato Ketchup 1000 gm ,148,175,802565000051,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/10.1_Prince_Tomato_Ketchup_1000gm.jpg
,Prince Tomato Ketchup 340 gm  ,58,75,802565000052,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/10.2_Prince_Tomato_Ketchup_340gm.jpg
,Prince Chili Sauce 1000 gm ,148,175,802565000053,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/11.1_Prince_Chili_Sauce_1000gm.jpg
,Prince Chili Sauce 340 gm  ,58,75,802565000054,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/11.2_Prince_Chili_Sauce_340gm.jpg
,Prince Sweet  Chilli Sauce 340 gm,90,110,802565000055,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/11.3_Prince_Sweet_Chilli_Sauce_340gm.jpg
,Prince Green Chilli Sauce 340 gm,57,70,802565000056,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/11.4_Prince_Green_Chilli_Sauce_340gm.jpg
,Prince Soya Sauce 500 ml  ,48,60,802565000057,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/12.1_Prince_Soya_Sauce_500ml.jpg
,Prince Soya Sauce 250 ml  ,33,40,802565000058,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/12.2_Prince_Soya_Sauce_250ml.jpg
